key,en,te,hi,keywords,aisle,rack
britannia-hazelnut-wafers,Britannia Hazelnut Wafers,బ్రిటానియా హజెల్‌నట్ వాఫర్స్,ब्रिटेनिया हेज़लनट वाफर्स,"hazelnut, wafers, Britannia",,
britannia-little-hearts,Britannia Little Hearts,బ్రిటానియా లిటిల్ హృదయాలు,ब्रिटेनिया लिटिल हृदय,"britannia, little hearts, biscuits",,
britannia-marie-gold,Britannia Marie Gold,బ్రిటానియా మేరీ గోల్డ్,ब्रिटेनिया मैरी गोल्ड,"britannia, marie gold, biscuits",,
britannia-maska-chaska,Britannia Maska Chaska,బ్రిటానియా మాస్కా చాస్కా,ब्रिटेनिया मस्का चास्का,"britannia, maska chaska, biscuits",,
britannia-milk-bikis,Britannia Milk Bikis,బ్రిటానియా మిల్క్ బికీస్,ब्रिटेनिया दूध बिकीस,"britannia, milk bikis, biscuits",,
britannia-milk-rusk,Britannia Milk Rusk,బ్రిటానియా మిల్క్ రస్క్,ब्रिटेनिया दूध रुस्क,"britannia, milk rusk, biscuits",,
britannia-nice-time,Britannia Nice Time,బ్రిటానియా నైస్ టైమ్,ब्रिटेनिया नाइस टाइम,Britannia Nice Time,,
britannia-suji-toast,Britannia Suji Toast,బ్రిటానియా సూజీ టోస్ట్,ब्रिटेनिया सूजी टोस्ट,Britannia Suji Toast,,
britannia-treat,Britannia Treat,బ్రిటానియా ట్రీట్,ब्रिटेनिया ट्रीट,Britannia Treat,,
britannia-treat-choco-100-gms,Britannia Treat Choco 100 Gms,బ్రిటానియా ట్రీట్ చోకో 100 జీమీ,ब्रिटेनिया ट्रीट चॉको 100 जीएम,Britannia Treat Choco 100 Gms,,
britannia-treat-creme-wafers-3-pack,Britannia Treat Creme Wafers 3 Pack,బ్రిటానియా ట్రీట్ క్రీమ్ వేఫర్స్ 3 ప్యాక్,ब्रिटेनिया ट्रीट क्रीम वेफर्स 3 पैक,"['britannia', 'treat', 'creme', 'wafers']",,
britannia-treat-pineapple,Britannia Treat Pineapple,బ్రిటానియా ట్రీట్ పైనాపిల్,ब्रिटेनिया ट्रीट पाइनएप्पल,"['britannia', 'treat', 'pineapple']",,
brooke-bond-red-label-tea-bags,Brooke Bond Red Label Tea Bags,బ్రూక్ బాండ్ రెడ్ లేబుల్ టీ బ్యాగ్స్,ब्रूक बॉन्ड रेड लेबल टी बैग्स,"['brooke', 'bond', 'red', 'label', 'tea']",,
brown-basmati-rice-10-lb,Brown Basmati Rice 10 lb,బ్రౌన్ బాస్మతి చిరుధాన్యం 10 లీవర్లు,ब्राउन बासमती चावल 10 पाउंड,"['brown', 'basmati', 'rice']",,
brown-basmati-rice-10-lb-1,Brown Basmati Rice 10 lb,బ్రౌన్ బాస్మతి చిరుధాన్యం 10 లీవర్లు,ब्राउन बासमती चावल 10 पाउंड,"['brown', 'basmati', 'rice']",,
brown-chana,Brown Chana,బ్రౌన్ చన,ब्राउन चना,"['brown chana', 'chickpeas']",,
brown-nd-polish,Brown and Polish,బ్రౌన్ మరియు పోలిష్,ब्राउन और पोलिश,"['brown polish', 'shoe polish']",,
brown-rice,Brown Rice,బ్రౌన్ బియ్యం,ब्राउन चावल,"['brown rice', 'unpolished rice']",,
brown-sona-masoori-rice-10-lb,Brown Sona Masoori Rice 10 lb,బ్రౌన్ సోనా మసూరి బియ్యం 10 లీబర్లు,ब्राउन सोना मसूरी चावल 10 पाउंड,"['sona masoori rice', 'brown rice']",,
bru-green-label,Bru Green Label,బ్రూ గ్రీన్ లేబుల్,ब्रू ग्रीन लेबल,"['bru coffee', 'green label coffee']",,
bulk-okra,Bulk Okra,బ్యాలెన్స్ ఓక్రా,बुल्क ओक्रा,"okra, lady's finger, bhindi",,
butter-chicken-mix,Butter Chicken Mix,బట్టర్ చికెన్ మిక్స్,बटर चिकन मिक्स,"['butter chicken mix', 'chicken mix', 'butter chicken']",,
butter-good-day,Butter Good Day,బట్టర్ గుడ్ డే,बटर गुड डे,"['butter good day', 'good day']",,
butter-ice-cream,Butter Ice Cream,బట్టర్ ఐస్ క్రీం,बटर आइस क्रीम,"['butter ice cream', 'ice cream']",,
butter-scotch,Butter Scotch,బట్టర్ స్కాట్చ్,बटर स्कॉच,"['butter scotch', 'scotch']",,
butterscotch,Butterscotch,బట్టర్‌స్కాట్చ్,बटरस्कॉच,['butterscotch'],,
butterscotch-icecream,Butterscotch Ice Cream,బట్టర్‌స్కోచ్ ఐస్ క్రీం,बटरस्कॉच आइसक्रीम,"butterscotch, ice cream",,
butterscotch-kingcone,Butterscotch King Cone,బట్టర్‌స్కోచ్ కింగ్ కోన్,बटरस्कॉच किंग कोन,"butterscotch, king cone",,
buttry-black-lentils,Buttry Black Lentils,బట్ట్రీ బ్లాక్ లెంటిల్స్,बट्ट्री ब्लैक लेंटिल्स,"buttry, black lentils",,
cadury-fruit-nut,Cadbury Fruit Nut,కేడుబ్రీ ఫ్రూట్ న్యూట్,केडुब्री फल नट,"cadbury, fruit, nut",,
cake-rusk,Cake Rusk,కేక్ రస్క్,केक रस्क,"cake, rusk",,
canola-oil,Canola Oil,కనోలా తైలం,कैनोला तेल,"['canola oil', 'vegetable oil']",,
cardamom-powder,Cardamom Powder,ఏలకు పొడి,एलची पाउडर,"['cardamom powder', 'elaichi powder']",,
cardamon-seeds-1,Cardamom Seeds,ఏలకు బియ్యం,एलची बीज,"['cardamom seeds', 'elaichi seeds']",,
carpet-cleaner,Carpet Cleaner,కార్పెట్ క్లీనర్,कार्पेट क्लीनर,"['carpet cleaner', 'carpet shampoo']",,
carrot,Carrot,గాజర్,गाजर,"['carrot', 'gajar', 'gaajar']",,
cashew-pieces,Cashew Pieces,క్యాష్వ్ పిస్సెస్,कैशव पीस,"['cashew', 'kashew', 'cashew pieces']",,
cashew-whole,Cashew Whole,క్యాష్వ్ వోల్,कैशव वोल,"['cashew', 'kashew', 'cashew whole']",,
cashew-whole-2,Cashew Whole,క్యాష్వ్ వోల్,कैशव वोल,"['cashew', 'kashew', 'cashew whole']",,
cashwe,cashwe,కాష్వీ,काशवी,"['cashew', 'cashew nut']",,
cassatta,Cassatta,కాసట్టా,कासट्टा,"['cassatta', 'cassata']",,
cassava,cassava,కసావా,कसावा,"['manioc', 'yuca']",,
cauliflower,Cauliflower,కాల్ఫ్లవర్,कालफ्लावर,"['cauliflower', 'gobhi']",,
chai-masala,Chai Masala,చాయ్ మసాలా,चाय मसाला,"['chai masala', 'tea spice']",,
chakli,Chakli,చక్లి,चकली,"['chakli', 'fried snack']",,
chana,Chana,చన,चना,"['chana', 'chickpea']",,
chana-chawal,Chana Chawal,చన చావల్,चना चावल,"['chana chawal', 'chickpea rice']",,
chana-chor,Split Chickpeas,చనా చోర,चना चोर,"['chickpeas', 'split chickpeas', 'chana chor']",,
chana-dal-3,Split Chickpeas,చనా దాల్,चना दाल,"['chickpeas', 'split chickpeas', 'chana dal']",,
chana-dal-organic,Organic Split Chickpeas,ఆర్గెనిక్ చనా దాల్,ऑर्गेनिक चना दाल,"['organic', 'chickpeas', 'split chickpeas', 'chana dal']",,
chana-dalia,Split Chickpeas,చనా దాలియా,चना दालिया,"['chickpeas', 'split chickpeas', 'chana dalia']",,
chandan-6-in-1-mukhwas,Chandan 6 in 1 Mukhwas,చందన్ 6 ఇన్ 1 ముఖ్వాస్,चंदन 6 इन 1 मुखवास,"['chandan', 'mukhwas', 'breath freshener']",,
chandan-olympic-mix,Chandan Olympic Mix,చందన్ ఒలింపిక్ మిక్స్,चंदन ओलंपिक मिक्स,"['chandan', 'olympic mix', 'mukhwas']",,
channa,Channa,చన్న,चन्ना,"['channa', 'chickpeas']",,
channa-jor-garam,Channa Jor Garam,చన్న జార్ గరమ్,चन्ना जोर गरम,"['channa', 'spicy', 'chickpeas']",,
chaokoh-coconut-milk,Chaokoh Coconut Milk,చాకోహ్ కొబ్బరి పాలు,चाओकोह कोयला दूध,"['coconut milk', 'chaokoh']",,
chap-stick-1,Chap Stick,చాప్ స్టిక్,चैप स्टिक,"['chapstick', 'lip balm']",,
chapati,Chapati,చపాతి,चापाती,"['flatbread', 'indian bread']",,
char-magaz,Char Magaz,చార్ మగజ్,चार मगज,"['char magaz', 'char magaj']",,
charcole,Charcoal,చార్కోల్,चारकोल,"['charcoal', 'activated charcoal']",,
chawal,Rice,Biyyam,Chawal,rice|chawal|biyyam,,
chefs-secret-basmati-rice-10-lb,Chef's Secret Basmati Rice 10 lb,చీఫ్స్ సెక్రెట్ బాస్మతి చిరుధాన్యం 10 లీబుల్స్,चीफ्स सीक्रेट बासमती चावल 10 पाउंड,"['basmati rice', 'long grain rice']",,
chefs-secret-basmati-rice-20-lb,Chef's Secret Basmati Rice 20 lb,చీఫ్స్ సెక్రెట్ బాస్మతి చావలి 20 లీబు,चीफ्स सीक्रेट बासमती चावल 20 लीबु,"basmati rice, chefs secret, 20 lb",,
chettinad-barnyard-millet,Chettinad Barnyard Millet,చెట్టినాడ్ బర్న్యార్డ్ మిలెట్,चेट्टीनाड बार्नयार्ड मिलेट,"barnyard millet, chettinad",,
chettinad-little-millet,Chettinad Little Millet,చెట్టినాడ్ లిటిల్ మిలెట్,चेट्टीनाड लिटिल मिलेट,"little millet, chettinad",,
chheder,Chheder,చ్హేదర్,छेडर,chheder,,
chhole,Chhole,చోలే,छोले,chhole,,
chia-seeds,Chia Seeds,చియా బీజాలు,चिया बीज,"['chia seeds', 'chiya bij', 'chiya beeja']",,
chicken-65,Chicken 65,కోడి 65,कोड़ी 65,"['chicken 65', 'kodi 65', 'kodi sixty-five']",,
chicken-66,Chicken 66,కోడి 66,कोड़ी 66,"['chicken 66', 'kodi 66', 'kodi sixty-six']",,
chicken-curry-paste,Chicken Curry Paste,కోడి కూర పేస్ట్,कोड़ी करी पेस्ट,"['chicken curry paste', 'kodi kura paste', 'kodi kuri peest']",,
chicken-keema,Chicken Keema,కోడి కీమా,कोड़ी कीमा,"['chicken keema', 'kodi keema', 'kodi keema']",,
chicken-marinade,Chicken Marinade,కోడి మారినేడ్,चिकन मैरिनेड,"['chicken marinade', 'marinade for chicken']",,
chicken-masala,Chicken Masala,కోడి మసాలా,चिकन मसाला,"['chicken masala', 'chicken spice']",,
chicken-roast-mothers,Chicken Roast Mothers,కోడి రోస్ట్ మాదర్స్,चिकन रोस्ट मदर्स,"['chicken roast', 'mothers chicken roast']",,
chicken-vindaloo,Chicken Vindaloo,కోడి విందాలూ,चिकन विंदालू,"['chicken vindaloo', 'vindaloo chicken']",,
chickn-tikka-mix,Chickn Tikka Mix,కిక్కన్ టిక్కా మిక్స్,चिकन टिक्का मिक्स,"['chicken tikka mix', 'tikka chicken mix']",,
chicko-icecream,Chicko Ice Cream,చిక్కో ఐస్ క్రీం,चिक्को आइस क्रीम,"chicko ice cream, ice cream",,
chickpea-kofta-curry,Chickpea Kofta Curry,మొక్కజొన్న కోఫ్టా కూర,चिक्की कोफ्ता करी,"chickpea kofta curry, chickpea curry",,
chili-garlic-sauce,Chili Garlic Sauce,చిలీ గార్లిక్ సాస్,चिली गार्लिक सॉस,"chili garlic sauce, chili sauce, garlic sauce",,
chilli,Chilli,చిలీ,चिली,"chilli, chili",,
chilli-banana,Chilli Banana,చిల్లి బెనాన,चिली बेनाना,"['chilli banana', 'banana chilli']",,
chilli-pickle,Chilli Pickle,చిల్లి పిక్కిల్,चिली पिक्कल,"['chilli pickle', 'pickle chilli']",,
chilli-powder,Chilli Powder,చిల్లి పొడి,चिली पाउडर,"['chilli powder', 'powder chilli']",,
chilli-powder-swad,Swad Chilli Powder,స్వాద్ చిల్లి పొడి,स्वाद चिली पाउडर,"['swad chilli powder', 'chilli powder swad']",,
chilli-whole,Whole Chilli,పొడి మిరియాలు,पूरी मिर्च,"whole chilli, chilli, mirchi",,
chinese-okra,Chinese Okra,చైనీస్ బంగాళదుంప,चीनी बैंगन,"chinese okra, lady's finger, benda kalu",,
chinese-potato,Chinese Potato,చైనీస్ ఆకుకాయ,चीनी आलू,"chinese potato, chinese taro, arbi",,
chings-dark-soy-sauce,Chings Dark Soy Sauce,చింగ్స్ డార్క్ సోయా సాస్,चिंग्स डार्क सोया सॉस,"chings dark soy sauce, soy sauce, soya sauce",,
chings-hakka-egg-noodles,Chings Hakka Egg Noodles,చింగ్స్ హక్కా మిఠాయి నూడుల్స్,चिंग्स हक्का अंडे नूडल्स,"chings hakka egg noodles, egg noodles, hakka noodles",,
chings-hakka-veg-noodles,Chings Hakka Veg Noodles,చింగ్స్ హక్కా వెగ్ నూడుల్స్,चिंग्स हक्का वेग नूडल्स,"hakka noodles, veg noodles",,
chings-manchurian-noodles,Chings Manchurian Noodles,చింగ్స్ మంచూరియన్ నూడుల్స్,चिंग्स मंचूरियन नूडल्स,manchurian noodles,,
chings-paneer-chilli-masala,Chings Paneer Chilli Masala,చింగ్స్ పనీర్ చిలీ మసాలా,चिंग्स पनीर चिली मसाला,paneer chilli masala,,
chings-schezwan-sauce,Chings Schezwan Sauce,చింగ్స్ సెచ్చ్వాన్ సౌస్,चिंग्स सेच्वान सॉस,schezwan sauce,,
chini,Sugar,Panchadara,Chini,sugar|chini|panchadara,,
chitale-idli-mix,Chitale Idli Mix,చితాలే ఇడ్లీ మిక్స్,चिताले इडली मिक्स,idli mix,,
chitale-khaman-mix,Chitale Khaman Mix,చితాలే ఖమాన్ మిక్స్,चिताले खमान मिक्स,"['khaman mix', 'chitale', 'snack mix']",,
chocolate,Chocolate,చోక్లేట్,चॉकलेट,"['chocolate', 'cocoa']",,
chocolate-ice-cream,Chocolate Ice Cream,చోక్లేట్ ఐస్ క్రీం,चॉकलेट आइस क्रीम,"['chocolate ice cream', 'ice cream']",,
choley-kulcha,Choley Kulcha,చోలీ కుల్చా,चोली कुलचा,"['choley kulcha', 'north indian bread']",,
chora-dal,Chora Dal,చోర దాల్,चोरा दाल,"['chora dal', 'split black gram']",,
chunky-chat-masala,Chunky Chat Masala,చంకీ చాట్ మసాలా,चंकी चैट मसाला,"['chunky chat masala', 'chat masala']",,
cilantro,Cilantro,సిలంట్రో,सिलेंट्रो,"['cilantro', 'coriander leaves']",,
cinamon-sticks,Cinnamon Sticks,డేగులు,दालचीनी की छड़ें,"['cinnamon sticks', 'dalchini']",,
cinnamon-powder,Cinnamon Powder,డేగులు పొడి,दालचीनी पाउडर,"['cinnamon powder', 'dalchini powder']",,
cinnman-sticks,Cinnamon Sticks,డేగులు,दालचीनी की छड़ें,"['cinnamon sticks', 'dalchini']",,
classic,Classic,క్లాసిక్,क्लासिक,['classic'],,
classic-cream,Classic Cream,క్లాసిక్ క్రీమ్,क्लासिक क्रीम,"['classic', 'cream']",,
classic-malai,Classic Malai,క్లాసిక్ మలై,क्लासिक मलाई,"['classic', 'malai']",,
classic-malai-kulfi,Classic Malai Kulfi,క్లాసిక్ మలై కుల్ఫీ,क्लासिक मलाई कुल्फी,"['classic', 'malai', 'kulfi']",,
clay-deepak-1,Clay Deepak 1,క్లే డీపక్ 1,क्ले डीपक 1,"diya, clay diya, deepak",,
clay-plain-diya-medium-12-pcs,Clay Plain Diya Medium 12 Pcs,క్లే ప్లేన్ డియా మీడియం 12 పీసీఎస్,क्ले प्लेन डिया मीडियम 12 पीसी,"diya, clay diya, plain diya, medium diya",,
click-emb,Click Emb,క్లిక్ ఎంబీ,क्लिक एमबी,"embroidery, embroidery floss, click embroidery",,
clorox-6-pack-bleach-toilet-bowl-cleaner,Clorox 6 Pack Bleach Toilet Bowl Cleaner,క్లోరాక్స్ 6 ప్యాక్ బ్లీచ్ టోలెట్ బౌల్ క్లీనర్,क्लोरॉक्स 6 पैक ब्लीच टॉयलेट बाउल क्लीनर,"bleach, toilet bowl cleaner, clorox bleach",,
cocktail-chicken-samosa,Cocktail Chicken Samosa,కోక్టెయిల్ చికెన్ సమోసా,कॉकटेल चिकन समोसा,"samosa, chicken samosa, cocktail samosa",,
coconut,Coconut,కొబ్బరి,नारियल,"['coconut', 'narial']",,
coconut-cake,Coconut Cake,కొబ్బరి కేక్,नारियल केक,"['coconut cake', 'narial cake']",,
coconut-chikki,Coconut Chikki,కొబ్బరి చిక్కీ,नारियल चिक्की,"['coconut chikki', 'narial chikki']",,
coconut-chutny,Coconut Chutney,కొబ్బరి చట్నీ,नारियल चटनी,"['coconut chutney', 'narial chutney']",,
coconut-powder-org,Organic Coconut Powder,ఆర్గెనిక్ కొబ్బరి పావురు,ऑर्गेनिक नारियल पाउडर,"['organic coconut powder', 'narial powder']",,
coconuts-flakes,Coconuts Flakes,కొబ్బరి పొడి,नारियल के दाने,"['coconut flakes', 'nariyal ki powder']",,
coffee,Coffee,కాఫీ,कॉफी,"['coffee beans', 'kaapi']",,
cofresh-jalapeno-grills,CoFresh Jalapeno Grills,కోఫ్రెష్ జలపెనో గ్రిల్స్,कोफ्रेश जालापेनो ग्रिल्स,"['cofresh jalapeno', 'jalapeno grills']",,
coke,Coke,కోక్,कोक,"['coke drink', 'koka']",,
colander-1,Colander,కొలండర్,कोलेंडर,"['colander', 'strainer', 'kitchen utensil']",,
cold-brew-coffee,Cold Brew Coffee,కాల్డ్ బ్రూ కాఫీ,कोल्ड ब्रू कॉफी,"['cold brew coffee', 'coffee', 'beverage']",,
cold-pressed-groundnut-oil,Cold Pressed Groundnut Oil,కాల్డ్ ప్రెస్డ్ గ్రౌండ్‌నట్ తేనెటీగ నూనె,कोल्ड प्रेस्ड ग्राउंडनट तेल,"['cold pressed oil', 'groundnut oil', 'nut oil']",,
color-diyas-9-pcs,Color Diyas 9 Pcs,రంగుల దీపాలు 9 పీసీసీలు,रंगीन दिये 9 पीस,"['color diya', 'diya', 'dipali']",,
color-sparklers-10-12-boxes,Color Sparklers 10-12 Boxes,రంగుల స్పార్కలర్లు 10-12 బాక్సులు,रंगीन स्पार्कलर 10-12 बॉक्स,"['color sparkler', 'sparkler', 'firework']",,
combiflam-icy-hot,Combiflam Icy Hot,కాంబిఫ్లామ్ ఆయిసీ హాట్,कॉम्बिफ्लेम आइसी हॉट,"['Combiflam', 'Icy Hot', 'Pain Reliever']",,
combo,Combo 8904063204714,కాంబో 8904063204714,कॉम्बो 8904063204714,"['Combo', 'Packaged Goods']",,
complain,Complain,క్లేయిన్,क्लेन,"['Antacid', 'Heartburn Relief']",,
concentrate-pani-puri,Concentrate Pani Puri,కాంసెంట్రేట్ పానీ పూరీ,कॉन्सेंट्रेट पानी पूरी,"['Pani Puri', 'Flavor Concentrate']",,
cookie,Cookie,కుకీ,कुकी,"['cookie', 'biscuit']",,
cookie-heaven-coconut,Cookie Heaven Coconut,కుకీ హెవెన్ కొకోనట్,कुकी हेवन कोकोनट,"['Cookie', 'Coconut Flavor']",,
cookies,Cookies,కుకీస్,कुकीज़,"['cookies', 'biscuits']",,
cooking-soda,Cooking Soda,కుకింగ్ సోడా,कुकिंग सोडा,"['cooking soda', 'soda bicarb']",,
copper-ice-cup,Copper Ice Cup,కప్పర్ ఐస్ కప్,कॉपर आइस कप,"['copper ice cup', 'ice cup']",,
coriander,Coriander Powder / Seeds,Dhaniyalu / Kotthimera (ధనియాలు),Dhania (धनिया),coriander|dhania|dhaniyalu|kotthimera,,
coriander-powder,Coriander Powder,ధనియాలు పొడి,धनिया पाउडर,"['coriander powder', 'dhania powder']",,
corinder-chutny,Coriander Chutney,కోరిండర్ చట్నీ,कोरीANDर चटनी,"coriander chutney, coriander, chutney",,
corinder-powder,Coriander Powder,కోరిండర్ పావుర,कोरीANDर पाउडर,"coriander powder, coriander, powder",,
corinder-seeds,Coriander Seeds,కోరిండర్ బీజాలు,कोरीANDर बीज,"coriander seeds, coriander, seeds",,
corn-oil-1,Corn Oil,కార్న్ ఆయిల్,कॉर्न ऑयल,"corn oil, corn, oil",,
cornflour-rafhan,Rafhan Corn Flour,రఫాన్ కార్న్ ఫ్లౌర్,रफ़ान कॉर्न फ्लौर,"['corn flour', 'rafhan']",,
cothas-coffee-1,Cothas Coffee,కోథాస్ కాఫీ,कोथास कॉफी,"['coffee', 'cothas']",,
cracked-wheat,Cracked Wheat,క్రాక్డ్ వీట,क्रैक्ड वीट,['cracked wheat'],,
cream-roll,Cream Roll,క్రీం రోల్,क्रीम रोल,['cream roll'],,
crispy-ajwain-cookies,Crispy Ajwain Cookies,క్రిస్పీ ఆజ్వైన్ కుక్కీలు,क्रिस्पी अजवाइन कुकीज़,"['ajwain cookies', 'crispy cookies', 'indian cookies']",,
crispy-almond-cake-rusk,Crispy Almond Cake Rusk,క్రిస్పీ ఆల్మండ్ కేక్ రస్క్,क्रिस्पी बादाम केक रस्क,"['almond cake', 'crispy rusk', 'indian bakery']",,
crispy-eggless-cake-rusk,Crispy Eggless Cake Rusk,క్రిస్పీ ఎగ్గులేని కేక్ రస్క్,क्रिस्पी अंडे वाला केक रस्क,"['eggless cake', 'crispy rusk', 'indian bakery']",,
crispy-fried-chicken-mix,Crispy Fried Chicken Mix,క్రిస్పీ ఫ్రైడ్ చికెన్ మిక్స్,क्रिस्पी फ्राइड चिकन मिक्स,"['crispy fried chicken', 'chicken mix', 'indian snacks']",,
crispy-gur-punjabi-cookies,Crispy Gur Punjabi Cookies,క్రిస్పీ గుర్ పంజాబీ కుక్కీలు,क्रिस्पी गुड़ पंजाबी कुकीज़,"['gur cookies', 'punjabi cookies', 'indian sweets']",,
crispy-peepewali-cookies,Crispy Peepewali Cookies,,,crispy-peepewali-cookies,,
crispy-punjabi-cookies,Crispy Punjabi Cookies,,,crispy-punjabi-cookies,,
crispy-tea-toast,Crispy Tea Toast,,,crispy-tea-toast,,
crispy-veg-punjabi-cookies,Crispy Veg Punjabi Cookies,,,crispy-veg-punjabi-cookies,,
crown-kulfi,Crown Kulfi,,,crown-kulfi,,
crystal-sona-masoori-rice-20-lb,Crystal Sona Masoori Rice 20 Lb,,,crystal-sona-masoori-rice-20-lb,,
ctelugu-chethi,Ctelugu Chethi,,,ctelugu-chethi,,
cumin,Cumin Seeds,Jilakarra (జిలకర),Jeera (जीरा),cumin|jeera|jilakarra,,
cumin-seeds,Cumin Seeds,Jilakarra (జిలకర),Jeera (जीरा),cumin|jeera|jilakarra|seeds,,
curd,Yogurt / Curd,Perugu (పెరుగు),Dahi (दही),curd|yogurt|dahi|perugu|milk,,
curry-leaves2051,Curry Leaves2051,,,curry-leaves2051,,
curry-powder-1,Curry Powder 1,,,curry-powder-1,,
custaed-powder,Custaed Powder,,,custaed-powder,,
cut-mango,Cut Mango,,,cut-mango,,
daawat-brown-basmati-rice,Daawat Brown Basmati Rice,,,daawat-brown-basmati-rice,,
dabar-real,Dabar Real,,,dabar-real,,
dabur-1,Dabur 1,,,dabur-1,,
dabur-amla-jasmine-hair-oil,Dabur Amla Jasmine Hair Oil,,,dabur-amla-jasmine-hair-oil,,
dabur-real-litchi,Dabur Real Litchi,,,dabur-real-litchi,,
dabur-real-mosambi,Dabur Real Mosambi,,,dabur-real-mosambi,,
dabur-red,Dabur Red,,,dabur-red,,
dabur-vatika-hair-cream-1,Dabur Vatika Hair Cream 1,,,dabur-vatika-hair-cream-1,,
dabur-vatika-hair-oil,Dabur Vatika Hair Oil,,,dabur-vatika-hair-oil,,
dabur-vatika-lemon-210-ml,Dabur Vatika Lemon 210 Ml,,,dabur-vatika-lemon-210-ml,,
dabur-vatika-olive-cactus-henna-hair-cream,Dabur Vatika Olive Cactus Henna Hair Cream,,,dabur-vatika-olive-cactus-henna-hair-cream,,
dabur-vatika-olive-hair,Dabur Vatika Olive Hair,,,dabur-vatika-olive-hair,,
dahi,Yogurt / Curd,Perugu,Dahi,curd|yogurt|dahi|perugu|milk,,
dahi-kebabs,Dahi Kebabs,,,dahi-kebabs,,
dahi-wada,Dahi Wada,,,dahi-wada,,
daily-delight-idiappam,Daily Delight Idiappam,,,daily-delight-idiappam,,
daily-delight-idiappam-brown,Daily Delight Idiappam Brown,,,daily-delight-idiappam-brown,,
daily-delight-idli,Daily Delight Idli,,,daily-delight-idli,,
daily-delight-malabar-porotta,Daily Delight Malabar Porotta,,,daily-delight-malabar-porotta,,
daily-delight-palappam,Daily Delight Palappam,,,daily-delight-palappam,,
daily-delight-tapioca,Daily Delight Tapioca,,,daily-delight-tapioca,,
dairy-milk-fruit-nut,Dairy Milk Fruit Nut,,,dairy-milk-fruit-nut,,
dal-chawal-mix,Dal Chawal Mix,,,dal-chawal-mix,,
dal-fry-chawal,Dal Fry Chawal,,,dal-fry-chawal,,
dal-makhani,Dal Makhani,,,dal-makhani,,
dal-palak,Dal Palak,,,dal-palak,,
dal-tadka,Dal Tadka,,,dal-tadka,,
dant-kranti,Dant Kranti,,,dant-kranti,,
date-rolls,Date Rolls,,,date-rolls,,
dates,Dates,,,dates,,
day-calcutta-pan,Day Calcutta Pan,,,day-calcutta-pan,,
dd-chicken-65,Dd Chicken 65,,,dd-chicken-65,,
dd-sambar-mix,Dd Sambar Mix,,,dd-sambar-mix,,
deep-ajman-seeds,Deep Ajman Seeds,,,deep-ajman-seeds,,
deep-ajwain-seeds,Deep Ajwain Seeds,,,deep-ajwain-seeds,,
deep-all-in-one,Deep All In One,,,deep-all-in-one,,
deep-aloo-paratha,Deep Aloo Paratha,,,deep-aloo-paratha,,
deep-amachur-powder-7oz,Deep Amachur Powder 7oz,,,deep-amachur-powder-7oz,,
deep-amba-halder-pickle,Deep Amba Halder Pickle,,,deep-amba-halder-pickle,,
deep-amchur-mango-powder,Deep Amchur Mango Powder,,,deep-amchur-mango-powder,,
deep-amla,Deep Amla,,,deep-amla,,
deep-anardana,Deep Anardana,,,deep-anardana,,
deep-arvi,Deep Arvi,,,deep-arvi,,
deep-babus-paneer-tikka,Deep Babus Paneer Tikka,,,deep-babus-paneer-tikka,,
deep-baingan-bhartha,Deep Baingan Bhartha,,,deep-baingan-bhartha,,
deep-bajri-flour,Deep Bajri Flour,,,deep-bajri-flour,,
deep-basmati-rice-2-lb,Deep Basmati Rice 2 Lb,,,deep-basmati-rice-2-lb,,
deep-besan,Deep Besan,,,deep-besan,,
deep-besan-flour,Deep Besan Flour,,,deep-besan-flour,,
deep-besan-ladoo-400-gms,Deep Besan Ladoo 400 Gms,,,deep-besan-ladoo-400-gms,,
deep-bhakri-flour,Deep Bhakri Flour,,,deep-bhakri-flour,,
deep-bhatura,Deep Bhatura,,,deep-bhatura,,
deep-bhel-mix,Deep Bhel Mix,,,deep-bhel-mix,,
deep-bhindi-baby-okra,Deep Bhindi Baby Okra,,,deep-bhindi-baby-okra,,
deep-bhindi-cut,Deep Bhindi Cut,,,deep-bhindi-cut,,
deep-boondi,Deep Boondi,,,deep-boondi,,
deep-brown-basmati-rice-2-lb,Deep Brown Basmati Rice 2 Lb,,,deep-brown-basmati-rice-2-lb,,
deep-chai-puri-340-gms,Deep Chai Puri 340 Gms,,,deep-chai-puri-340-gms,,
deep-chana-dal-samosa,Deep Chana Dal Samosa,,,deep-chana-dal-samosa,,
deep-chauri,Deep Chauri,,,deep-chauri,,
deep-chhole,Deep Chhole,,,deep-chhole,,
deep-chikoo-slices,Deep Chikoo Slices,,,deep-chikoo-slices,,
deep-cktail-samosa-chan-dal,Deep Cktail Samosa Chan Dal,,,deep-cktail-samosa-chan-dal,,
deep-coconut,Deep Coconut,,,deep-coconut,,
deep-coconut-chutney,Deep Coconut Chutney,,,deep-coconut-chutney,,
deep-coconut-water,Deep Coconut Water,,,deep-coconut-water,,
deep-coriander-chutney,Deep Coriander Chutney,,,deep-coriander-chutney,,
deep-coriander-seeds,Deep Coriander Seeds,,,deep-coriander-seeds,,
deep-cow-ghee,Deep Cow Ghee,,,deep-cow-ghee,,
deep-cream-role-chocolate,Deep Cream Role Chocolate,,,deep-cream-role-chocolate,,
deep-crispy-fried-onion,Deep Crispy Fried Onion,,,deep-crispy-fried-onion,,
