en,te,hi,keywords,categories,aisle,rack
Britannia Good Day Pista Almond,బ్రిటానియా గుడ్ డే పిస్టా ఆల్మండ్,ब्रिटेनिया गुड डे पिस्ता अल्मंड,"pista, almond, Britannia, Good Day",Uncategorized,,
Britannia Good Day Pista Almond,బ్రిటానియా గుడ్ డే పిస్టా ఆల్మండ్,ब्रिटेनिया गुड डे पिस्ता अल्मंड,"pista, almond, Britannia, Good Day",Uncategorized,,
Britannia Hazelnut Wafers,బ్రిటానియా హజెల్‌నట్ వాఫర్స్,ब्रिटेनिया हेज़लनट वाफर्स,"hazelnut, wafers, Britannia",Uncategorized,,
Britannia Little Hearts,బ్రిటానియా లిటిల్ హృదయాలు,ब्रिटेनिया लिटिल हृदय,"britannia, little hearts, biscuits",Uncategorized,,
Britannia Marie Gold,బ్రిటానియా మేరీ గోల్డ్,ब्रिटेनिया मैरी गोल्ड,"britannia, marie gold, biscuits",Uncategorized,,
Britannia Maska Chaska,బ్రిటానియా మాస్కా చాస్కా,ब्रिटेनिया मस्का चास्का,"britannia, maska chaska, biscuits",Uncategorized,,
Britannia Milk Bikis,బ్రిటానియా మిల్క్ బికీస్,ब्रिटेनिया दूध बिकीस,"britannia, milk bikis, biscuits",Uncategorized,,
Britannia Milk Rusk,బ్రిటానియా మిల్క్ రస్క్,ब्रिटेनिया दूध रुस्क,"britannia, milk rusk, biscuits",Uncategorized,,
Britannia Nice Time,బ్రిటానియా నైస్ టైమ్,ब्रिटेनिया नाइस टाइम,Britannia Nice Time,Uncategorized,,
Britannia Suji Toast,బ్రిటానియా సూజీ టోస్ట్,ब्रिटेनिया सूजी टोस्ट,Britannia Suji Toast,Uncategorized,,
Britannia Treat,బ్రిటానియా ట్రీట్,ब्रिटेनिया ट्रीट,Britannia Treat,Uncategorized,,
Britannia Treat Choco 100 Gms,బ్రిటానియా ట్రీట్ చోకో 100 జీమీ,ब्रिटेनिया ट्रीट चॉको 100 जीएम,Britannia Treat Choco 100 Gms,Uncategorized,,
Britannia Treat Creme Wafers 3 Pack,బ్రిటానియా ట్రీట్ క్రీమ్ వేఫర్స్ 3 ప్యాక్,ब्रिटेनिया ट्रीट क्रीम वेफर्स 3 पैक,"['britannia', 'treat', 'creme', 'wafers']",Uncategorized,,
Britannia Treat Pineapple,బ్రిటానియా ట్రీట్ పైనాపిల్,ब्रिटेनिया ट्रीट पाइनएप्पल,"['britannia', 'treat', 'pineapple']",Uncategorized,,
Brooke Bond Red Label Tea Bags,బ్రూక్ బాండ్ రెడ్ లేబుల్ టీ బ్యాగ్స్,ब्रूक बॉन्ड रेड लेबल टी बैग्स,"['brooke', 'bond', 'red', 'label', 'tea']",Uncategorized,,
Brown and Polish,బ్రౌన్ మరియు పోలిష్,ब्राउन और पोलिश,"['brown polish', 'shoe polish']",Uncategorized,,
Brown Basmati Rice 10 lb,బ్రౌన్ బాస్మతి చిరుధాన్యం 10 లీవర్లు,ब्राउन बासमती चावल 10 पाउंड,"['brown', 'basmati', 'rice']",Uncategorized,,
Brown Basmati Rice 10 lb,బ్రౌన్ బాస్మతి చిరుధాన్యం 10 లీవర్లు,ब्राउन बासमती चावल 10 पाउंड,"['brown', 'basmati', 'rice']",Uncategorized,,
Brown Chana,బ్రౌన్ చన,ब्राउन चना,"['brown chana', 'chickpeas']",Uncategorized,,
Brown Rice,బ్రౌన్ బియ్యం,ब्राउन चावल,"['brown rice', 'unpolished rice']",Uncategorized,,
Brown Sona Masoori Rice 10 lb,బ్రౌన్ సోనా మసూరి బియ్యం 10 లీబర్లు,ब्राउन सोना मसूरी चावल 10 पाउंड,"['sona masoori rice', 'brown rice']",Uncategorized,,
Bru Green Label,బ్రూ గ్రీన్ లేబుల్,ब्रू ग्रीन लेबल,"['bru coffee', 'green label coffee']",Uncategorized,,
Bulk Okra,బ్యాలెన్స్ ఓక్రా,बुल्क ओक्रा,"okra, lady's finger, bhindi",Uncategorized,,
Bulk Potato Paratha,బఠాని పరాతా బల్క్,आलू पराठा बुल्क,"['bulk potato paratha', 'aloo paratha bulk']","Atta, Rice & Grains",2,21
Butter Chicken Masala,బట్టర్ చికెన్ మసాలా,बटर चिकन मसाला,"['butter chicken masala', 'chicken curry']","Pickles, Sauces & Instant",6,5
Butter Chicken Mix,బట్టర్ చికెన్ మిక్స్,बटर चिकन मिक्स,"['butter chicken mix', 'chicken mix', 'butter chicken']",Uncategorized,,
Butter Good Day,బట్టర్ గుడ్ డే,बटर गुड डे,"['butter good day', 'good day']",Uncategorized,,
Butter Ice Cream,బట్టర్ ఐస్ క్రీం,बटर आइस क्रीम,"['butter ice cream', 'ice cream']",Uncategorized,,
Butter Scotch,బట్టర్ స్కాట్చ్,बटर स्कॉच,"['butter scotch', 'scotch']",Uncategorized,,
Butterscotch,బట్టర్‌స్కాట్చ్,बटरस्कॉच,['butterscotch'],Uncategorized,,
Butterscotch Ice Cream,బట్టర్‌స్కోచ్ ఐస్ క్రీం,बटरस्कॉच आइसक्रीम,"butterscotch, ice cream",Uncategorized,,
Butterscotch King Cone,బట్టర్‌స్కోచ్ కింగ్ కోన్,बटरस्कॉच किंग कोन,"butterscotch, king cone",Uncategorized,,
Buttry Black Lentils,బట్ట్రీ బ్లాక్ లెంటిల్స్,बट्ट्री ब्लैक लेंटिल्स,"buttry, black lentils",Uncategorized,,
Cadbury Fruit Nut,కేడుబ్రీ ఫ్రూట్ న్యూట్,केडुब्री फल नट,"cadbury, fruit, nut",Uncategorized,,
Cake Rusk,కేక్ రస్క్,केक रस्क,"cake, rusk",Uncategorized,,
Canola Oil,కనోలా తైలం,कैनोला तेल,"['canola oil', 'vegetable oil']",Uncategorized,,
Cardamom Powder,ఏలకు పొడి,एलची पाउडर,"['cardamom powder', 'elaichi powder']",Uncategorized,,
Cardamom Seeds,ఏలకు బియ్యం,एलची बीज,"['cardamom seeds', 'elaichi seeds']",Uncategorized,,
Carpet Cleaner,కార్పెట్ క్లీనర్,कार्पेट क्लीनर,"['carpet cleaner', 'carpet shampoo']",Uncategorized,,
Carrot,గాజర్,गाजर,"['carrot', 'gajar', 'gaajar']",Uncategorized,,
Cashew Pieces,క్యాష్వ్ పిస్సెస్,कैशव पीस,"['cashew', 'kashew', 'cashew pieces']",Uncategorized,,
Cashew Whole,క్యాష్వ్ వోల్,कैशव वोल,"['cashew', 'kashew', 'cashew whole']",Uncategorized,,
Cashew Whole,క్యాష్వ్ వోల్,कैशव वोल,"['cashew', 'kashew', 'cashew whole']",Uncategorized,,
cashwe,కాష్వీ,काशवी,"['cashew', 'cashew nut']",Uncategorized,,
Cassatta,కాసట్టా,कासट्टा,"['cassatta', 'cassata']",Uncategorized,,
cassava,కసావా,कसावा,"['manioc', 'yuca']",Uncategorized,,
Cauliflower,కాల్ఫ్లవర్,कालफ्लावर,"['cauliflower', 'gobhi']",Uncategorized,,
Chai Masala,చాయ్ మసాలా,चाय मसाला,"['chai masala', 'tea spice']",Uncategorized,,
Chakli,చక్లి,चकली,"['chakli', 'fried snack']",Uncategorized,,
Chana,చన,चना,"['chana', 'chickpea']",Uncategorized,,
Chana Chawal,చన చావల్,चना चावल,"['chana chawal', 'chickpea rice']",Uncategorized,,
Chandan 6 in 1 Mukhwas,చందన్ 6 ఇన్ 1 ముఖ్వాస్,चंदन 6 इन 1 मुखवास,"['chandan', 'mukhwas', 'breath freshener']",Uncategorized,,
Chandan Olympic Mix,చందన్ ఒలింపిక్ మిక్స్,चंदन ओलंपिक मिक्स,"['chandan', 'olympic mix', 'mukhwas']",Uncategorized,,
Channa,చన్న,चन्ना,"['channa', 'chickpeas']",Uncategorized,,
Channa Jor Garam,చన్న జార్ గరమ్,चन्ना जोर गरम,"['channa', 'spicy', 'chickpeas']",Uncategorized,,
Chaokoh Coconut Milk,చాకోహ్ కొబ్బరి పాలు,चाओकोह कोयला दूध,"['coconut milk', 'chaokoh']",Uncategorized,,
Chap Stick,చాప్ స్టిక్,चैप स्टिक,"['chapstick', 'lip balm']",Uncategorized,,
Chapati,చపాతి,चापाती,"['flatbread', 'indian bread']",Uncategorized,,
Char Magaz,చార్ మగజ్,चार मगज,"['char magaz', 'char magaj']",Uncategorized,,
Charcoal,చార్కోల్,चारकोल,"['charcoal', 'activated charcoal']",Uncategorized,,
Chef's Secret Basmati Rice 10 lb,చీఫ్స్ సెక్రెట్ బాస్మతి చిరుధాన్యం 10 లీబుల్స్,चीफ्स सीक्रेट बासमती चावल 10 पाउंड,"['basmati rice', 'long grain rice']",Uncategorized,,
Chef's Secret Basmati Rice 20 lb,చీఫ్స్ సెక్రెట్ బాస్మతి చావలి 20 లీబు,चीफ्स सीक्रेट बासमती चावल 20 लीबु,"basmati rice, chefs secret, 20 lb",Uncategorized,,
Chettinad Barnyard Millet,చెట్టినాడ్ బర్న్యార్డ్ మిలెట్,चेट्टीनाड बार्नयार्ड मिलेट,"barnyard millet, chettinad",Uncategorized,,
Chettinad Little Millet,చెట్టినాడ్ లిటిల్ మిలెట్,चेट्टीनाड लिटिल मिलेट,"little millet, chettinad",Uncategorized,,
Chheder,చ్హేదర్,छेडर,chheder,Uncategorized,,
Chhole,చోలే,छोले,chhole,Uncategorized,,
Chia Seeds,చియా బీజాలు,चिया बीज,"['chia seeds', 'chiya bij', 'chiya beeja']",Uncategorized,,
Chicken 65,కోడి 65,कोड़ी 65,"['chicken 65', 'kodi 65', 'kodi sixty-five']",Uncategorized,,
Chicken 66,కోడి 66,कोड़ी 66,"['chicken 66', 'kodi 66', 'kodi sixty-six']",Uncategorized,,
Chicken Curry Paste,కోడి కూర పేస్ట్,कोड़ी करी पेस्ट,"['chicken curry paste', 'kodi kura paste', 'kodi kuri peest']",Uncategorized,,
Chicken Keema,కోడి కీమా,कोड़ी कीमा,"['chicken keema', 'kodi keema', 'kodi keema']",Uncategorized,,
Chicken Marinade,కోడి మారినేడ్,चिकन मैरिनेड,"['chicken marinade', 'marinade for chicken']",Uncategorized,,
Chicken Masala,చికెన్ మసాలా,चिकन मसाला,"['chicken masala', 'chicken curry']","Pickles, Sauces & Instant",6,6
Chicken Masala,కోడి మసాలా,चिकन मसाला,"['chicken masala', 'chicken spice']",Uncategorized,,
Chicken Roast Mothers,కోడి రోస్ట్ మాదర్స్,चिकन रोस्ट मदर्स,"['chicken roast', 'mothers chicken roast']",Uncategorized,,
Chicken Vindaloo,కోడి విందాలూ,चिकन विंदालू,"['chicken vindaloo', 'vindaloo chicken']",Uncategorized,,
Chickn Tikka Mix,కిక్కన్ టిక్కా మిక్స్,चिकन टिक्का मिक्स,"['chicken tikka mix', 'tikka chicken mix']",Uncategorized,,
Chicko Ice Cream,చిక్కో ఐస్ క్రీం,चिक्को आइस क्रीम,"chicko ice cream, ice cream",Uncategorized,,
Chickpea Kofta Curry,మొక్కజొన్న కోఫ్టా కూర,चिक्की कोफ्ता करी,"chickpea kofta curry, chickpea curry",Uncategorized,,
Chili Garlic Sauce,చిలీ గార్లిక్ సాస్,चिली गार्लिक सॉस,"chili garlic sauce, chili sauce, garlic sauce",Uncategorized,,
Chilli,చిలీ,चिली,"chilli, chili",Uncategorized,,
Chilli Banana,చిల్లి బెనాన,चिली बेनाना,"['chilli banana', 'banana chilli']",Uncategorized,,
Chilli Pickle,చిల్లి పిక్కిల్,चिली पिक्कल,"['chilli pickle', 'pickle chilli']",Uncategorized,,
Chilli Powder,చిల్లి పొడి,चिली पाउडर,"['chilli powder', 'powder chilli']",Uncategorized,,
Chinese Okra,చైనీస్ బంగాళదుంప,चीनी बैंगन,"chinese okra, lady's finger, benda kalu",Uncategorized,,
Chinese Potato,చైనీస్ ఆకుకాయ,चीनी आलू,"chinese potato, chinese taro, arbi",Uncategorized,,
Chings Dark Soy Sauce,చింగ్స్ డార్క్ సోయా సాస్,चिंग्स डार्क सोया सॉस,"chings dark soy sauce, soy sauce, soya sauce",Uncategorized,,
Chings Hakka Egg Noodles,చింగ్స్ హక్కా మిఠాయి నూడుల్స్,चिंग्स हक्का अंडे नूडल्स,"chings hakka egg noodles, egg noodles, hakka noodles",Uncategorized,,
Chings Hakka Veg Noodles,చింగ్స్ హక్కా వెగ్ నూడుల్స్,चिंग्स हक्का वेग नूडल्स,"hakka noodles, veg noodles",Uncategorized,,
Chings Manchurian Noodles,చింగ్స్ మంచూరియన్ నూడుల్స్,चिंग्स मंचूरियन नूडल्स,manchurian noodles,Uncategorized,,
Chings Paneer Chilli Masala,చింగ్స్ పనీర్ చిలీ మసాలా,चिंग्स पनीर चिली मसाला,paneer chilli masala,Uncategorized,,
Chings Schezwan Sauce,చింగ్స్ సెచ్చ్వాన్ సౌస్,चिंग्स सेच्वान सॉस,schezwan sauce,Uncategorized,,
Chitale Idli Mix,చితాలే ఇడ్లీ మిక్స్,चिताले इडली मिक्स,idli mix,Uncategorized,,
Chitale Khaman Mix,చితాలే ఖమాన్ మిక్స్,चिताले खमान मिक्स,"['khaman mix', 'chitale', 'snack mix']",Uncategorized,,
Chocolate,చోక్లేట్,चॉकलेट,"['chocolate', 'cocoa']",Uncategorized,,
Chocolate Ice Cream,చోక్లేట్ ఐస్ క్రీం,चॉकलेट आइस क्रीम,"['chocolate ice cream', 'ice cream']",Uncategorized,,
Choley Kulcha,చోలీ కుల్చా,चोली कुलचा,"['choley kulcha', 'north indian bread']",Uncategorized,,
Chora Dal,చోర దాల్,चोरा दाल,"['chora dal', 'split black gram']",Uncategorized,,
Chunky Chat Masala,చంకీ చాట్ మసాలా,चंकी चैट मसाला,"['chunky chat masala', 'chat masala']",Uncategorized,,
Cilantro,సిలంట్రో,सिलेंट्रो,"['cilantro', 'coriander leaves']",Uncategorized,,
Cinnamon Powder,డేగులు పొడి,दालचीनी पाउडर,"['cinnamon powder', 'dalchini powder']",Uncategorized,,
Cinnamon Sticks,డేగులు,दालचीनी की छड़ें,"['cinnamon sticks', 'dalchini']",Uncategorized,,
Cinnamon Sticks,డేగులు,दालचीनी की छड़ें,"['cinnamon sticks', 'dalchini']",Uncategorized,,
Clarified Butter,Neyyi,Ghee,ghee|neyyi,Uncategorized,,
Clarified Butter (Ghee),Neyyi (నెయ్యి),Ghee (घी),ghee|neyyi|clarified-butter,Uncategorized,,
Classic,క్లాసిక్,क्लासिक,['classic'],Uncategorized,,
Classic Cream,క్లాసిక్ క్రీమ్,क्लासिक क्रीम,"['classic', 'cream']",Uncategorized,,
Classic Malai,క్లాసిక్ మలై,क्लासिक मलाई,"['classic', 'malai']",Uncategorized,,
Classic Malai Kulfi,క్లాసిక్ మలై కుల్ఫీ,क्लासिक मलाई कुल्फी,"['classic', 'malai', 'kulfi']",Uncategorized,,
Clay Deepak 1,క్లే డీపక్ 1,क्ले डीपक 1,"diya, clay diya, deepak",Uncategorized,,
Clay Plain Diya Medium 12 Pcs,క్లే ప్లేన్ డియా మీడియం 12 పీసీఎస్,क्ले प्लेन डिया मीडियम 12 पीसी,"diya, clay diya, plain diya, medium diya",Uncategorized,,
Click Emb,క్లిక్ ఎంబీ,क्लिक एमबी,"embroidery, embroidery floss, click embroidery",Uncategorized,,
Clorox 6 Pack Bleach Toilet Bowl Cleaner,క్లోరాక్స్ 6 ప్యాక్ బ్లీచ్ టోలెట్ బౌల్ క్లీనర్,क्लोरॉक्स 6 पैक ब्लीच टॉयलेट बाउल क्लीनर,"bleach, toilet bowl cleaner, clorox bleach",Uncategorized,,
Cocktail Chicken Samosa,కోక్టెయిల్ చికెన్ సమోసా,कॉकटेल चिकन समोसा,"samosa, chicken samosa, cocktail samosa",Uncategorized,,
Coconut,కొబ్బరి,नारियल,"['coconut', 'narial']",Uncategorized,,
Coconut Cake,కొబ్బరి కేక్,नारियल केक,"['coconut cake', 'narial cake']",Uncategorized,,
Coconut Chikki,కొబ్బరి చిక్కీ,नारियल चिक्की,"['coconut chikki', 'narial chikki']",Uncategorized,,
Coconut Chutney,కొబ్బరి చట్నీ,नारियल चटनी,"['coconut chutney', 'narial chutney']",Uncategorized,,
Coconuts Flakes,కొబ్బరి పొడి,नारियल के दाने,"['coconut flakes', 'nariyal ki powder']",Uncategorized,,
Coffee,కాఫీ,कॉफी,"['coffee beans', 'kaapi']",Uncategorized,,
CoFresh Jalapeno Grills,కోఫ్రెష్ జలపెనో గ్రిల్స్,कोफ्रेश जालापेनो ग्रिल्स,"['cofresh jalapeno', 'jalapeno grills']",Uncategorized,,
Coke,కోక్,कोक,"['coke drink', 'koka']",Uncategorized,,
Colander,కొలండర్,कोलेंडर,"['colander', 'strainer', 'kitchen utensil']",Uncategorized,,
Cold Brew Coffee,కాల్డ్ బ్రూ కాఫీ,कोल्ड ब्रू कॉफी,"['cold brew coffee', 'coffee', 'beverage']",Uncategorized,,
Cold Pressed Groundnut Oil,కాల్డ్ ప్రెస్డ్ గ్రౌండ్‌నట్ తేనెటీగ నూనె,कोल्ड प्रेस्ड ग्राउंडनट तेल,"['cold pressed oil', 'groundnut oil', 'nut oil']",Uncategorized,,
Color Diyas 9 Pcs,రంగుల దీపాలు 9 పీసీసీలు,रंगीन दिये 9 पीस,"['color diya', 'diya', 'dipali']",Uncategorized,,
Color Sparklers 10-12 Boxes,రంగుల స్పార్కలర్లు 10-12 బాక్సులు,रंगीन स्पार्कलर 10-12 बॉक्स,"['color sparkler', 'sparkler', 'firework']",Uncategorized,,
Combiflam Icy Hot,కాంబిఫ్లామ్ ఆయిసీ హాట్,कॉम्बिफ्लेम आइसी हॉट,"['Combiflam', 'Icy Hot', 'Pain Reliever']",Uncategorized,,
Combo 8904063204714,కాంబో 8904063204714,कॉम्बो 8904063204714,"['Combo', 'Packaged Goods']",Uncategorized,,
Complain,క్లేయిన్,क्लेन,"['Antacid', 'Heartburn Relief']",Uncategorized,,
Concentrate Pani Puri,కాంసెంట్రేట్ పానీ పూరీ,कॉन्सेंट्रेट पानी पूरी,"['Pani Puri', 'Flavor Concentrate']",Uncategorized,,
Cookie,కుకీ,कुकी,"['cookie', 'biscuit']",Uncategorized,,
Cookie Heaven Coconut,కుకీ హెవెన్ కొకోనట్,कुकी हेवन कोकोनट,"['Cookie', 'Coconut Flavor']",Uncategorized,,
Cookies,కుకీస్,कुकीज़,"['cookies', 'biscuits']",Uncategorized,,
Cooking Soda,కుకింగ్ సోడా,कुकिंग सोडा,"['cooking soda', 'soda bicarb']",Uncategorized,,
Copper Ice Cup,కప్పర్ ఐస్ కప్,कॉपर आइस कप,"['copper ice cup', 'ice cup']",Uncategorized,,
Coriander,Dhaniyalu,Dhania,coriander|dhania|dhaniyalu,Uncategorized,,
Coriander,Dhaniyalu,Dhania,coriander|dhania|dhaniyalu,Uncategorized,,
Coriander Chutney,కోరిండర్ చట్నీ,कोरीANDर चटनी,"coriander chutney, coriander, chutney",Uncategorized,,
Coriander Powder,ధనియాలు పొడి,धनिया पाउडर,"['coriander powder', 'dhania powder']",Uncategorized,,
Coriander Powder,కోరిండర్ పావుర,कोरीANDर पाउडर,"coriander powder, coriander, powder",Uncategorized,,
Coriander Powder / Seeds,Dhaniyalu / Kotthimera (ధనియాలు),Dhania (धनिया),coriander|dhania|dhaniyalu|kotthimera,Uncategorized,,
Coriander Seeds,కోరిండర్ బీజాలు,कोरीANDर बीज,"coriander seeds, coriander, seeds",Uncategorized,,
Corn Oil,కార్న్ ఆయిల్,कॉर्न ऑयल,"corn oil, corn, oil",Uncategorized,,
Cothas Coffee,కోథాస్ కాఫీ,कोथास कॉफी,"['coffee', 'cothas']",Uncategorized,,
Cottage Cheese (Paneer),Paneer (పన్నీర్),Paneer (पनीर),paneer|cottage-cheese,Uncategorized,,
Cracked Wheat,క్రాక్డ్ వీట,क्रैक्ड वीट,['cracked wheat'],Uncategorized,,
Cream Roll,క్రీం రోల్,क्रीम रोल,['cream roll'],Uncategorized,,
Crispy Ajwain Cookies,క్రిస్పీ ఆజ్వైన్ కుక్కీలు,क्रिस्पी अजवाइन कुकीज़,"['ajwain cookies', 'crispy cookies', 'indian cookies']",Uncategorized,,
Crispy Almond Cake Rusk,క్రిస్పీ ఆల్మండ్ కేక్ రస్క్,क्रिस्पी बादाम केक रस्क,"['almond cake', 'crispy rusk', 'indian bakery']",Uncategorized,,
Crispy Eggless Cake Rusk,క్రిస్పీ ఎగ్గులేని కేక్ రస్క్,क्रिस्पी अंडे वाला केक रस्क,"['eggless cake', 'crispy rusk', 'indian bakery']",Uncategorized,,
Crispy Fried Chicken Mix,క్రిస్పీ ఫ్రైడ్ చికెన్ మిక్స్,क्रिस्पी फ्राइड चिकन मिक्स,"['crispy fried chicken', 'chicken mix', 'indian snacks']",Uncategorized,,
Crispy Gur Punjabi Cookies,క్రిస్పీ గుర్ పంజాబీ కుక్కీలు,क्रिस्पी गुड़ पंजाबी कुकीज़,"['gur cookies', 'punjabi cookies', 'indian sweets']",Uncategorized,,
Crispy Peepewali Cookies,,,crispy-peepewali-cookies,Uncategorized,,
Crispy Punjabi Cookies,,,crispy-punjabi-cookies,Uncategorized,,
Crispy Tea Toast,,,crispy-tea-toast,Uncategorized,,
Crispy Veg Punjabi Cookies,,,crispy-veg-punjabi-cookies,Uncategorized,,
Crown Kulfi,,,crown-kulfi,Uncategorized,,
Crystal Sona Masoori Rice 20 Lb,,,crystal-sona-masoori-rice-20-lb,Uncategorized,,
Ctelugu Chethi,,,ctelugu-chethi,Uncategorized,,
Cumin Seeds,Jilakarra (జిలకర),Jeera (जीरा),cumin|jeera|jilakarra,Uncategorized,,
Cumin Seeds,Jilakarra (జిలకర),Jeera (जीरा),cumin|jeera|jilakarra|seeds,Uncategorized,,
Cumin Seeds,Jilakarra,Jeera,cumin|jeera|jilakarra,Uncategorized,,
Cumin Seeds,Jilakarra,Jeera,cumin|jeera|jilakarra,Uncategorized,,
Curry Leaves2051,,,curry-leaves2051,Uncategorized,,
Curry Powder 1,,,curry-powder-1,Uncategorized,,
Custaed Powder,,,custaed-powder,Uncategorized,,
Cut Mango,,,cut-mango,Uncategorized,,
Daawat Brown Basmati Rice,,,daawat-brown-basmati-rice,Uncategorized,,
Dabar Real,,,dabar-real,Uncategorized,,
Dabur 1,,,dabur-1,Uncategorized,,
Dabur Amla Jasmine Hair Oil,,,dabur-amla-jasmine-hair-oil,Uncategorized,,
Dabur Real Litchi,,,dabur-real-litchi,Uncategorized,,
Dabur Real Mosambi,,,dabur-real-mosambi,Uncategorized,,
Dabur Red,,,dabur-red,Uncategorized,,
Dabur Vatika Hair Cream 1,,,dabur-vatika-hair-cream-1,Uncategorized,,
Dabur Vatika Hair Oil,,,dabur-vatika-hair-oil,Uncategorized,,
Dabur Vatika Lemon 210 Ml,,,dabur-vatika-lemon-210-ml,Uncategorized,,
Dabur Vatika Olive Cactus Henna Hair Cream,,,dabur-vatika-olive-cactus-henna-hair-cream,Uncategorized,,
Dabur Vatika Olive Hair,,,dabur-vatika-olive-hair,Uncategorized,,
Dahi Kebabs,,,dahi-kebabs,Uncategorized,,
Dahi Wada,,,dahi-wada,Uncategorized,,
Daily Delight Idiappam,,,daily-delight-idiappam,Uncategorized,,
Daily Delight Idiappam Brown,,,daily-delight-idiappam-brown,Uncategorized,,
Daily Delight Idli,,,daily-delight-idli,Uncategorized,,
Daily Delight Malabar Porotta,,,daily-delight-malabar-porotta,Uncategorized,,
Daily Delight Palappam,,,daily-delight-palappam,Uncategorized,,
Daily Delight Tapioca,,,daily-delight-tapioca,Uncategorized,,
Dairy Milk Fruit Nut,,,dairy-milk-fruit-nut,Uncategorized,,
Dal Chawal Mix,,,dal-chawal-mix,Uncategorized,,
Dal Fry Chawal,,,dal-fry-chawal,Uncategorized,,
Dal Makhani,,,dal-makhani,Uncategorized,,
Dal Palak,,,dal-palak,Uncategorized,,
Dal Tadka,,,dal-tadka,Uncategorized,,
Dant Kranti,,,dant-kranti,Uncategorized,,
Date Rolls,,,date-rolls,Uncategorized,,
Dates,,,dates,Uncategorized,,
Day Calcutta Pan,,,day-calcutta-pan,Uncategorized,,
Dd Chicken 65,,,dd-chicken-65,Uncategorized,,
Dd Sambar Mix,,,dd-sambar-mix,Uncategorized,,
Deep Ajman Seeds,,,deep-ajman-seeds,Uncategorized,,
Deep Ajwain Paratha,డీప్ అజ్వైన్ పరాఠా,डीप अजवाइन पराठा,"['deep ajwain paratha', 'deep carom seeds flatbread']","Atta, Rice & Grains",2,9
Deep Ajwain Seeds,,,deep-ajwain-seeds,Uncategorized,,
Deep All In One,,,deep-all-in-one,Uncategorized,,
Deep Aloo Paratha,,,deep-aloo-paratha,Uncategorized,,
Deep Amachur Powder 7oz,,,deep-amachur-powder-7oz,Uncategorized,,
Deep Amba Halder Pickle,,,deep-amba-halder-pickle,Uncategorized,,
Deep Amchur Mango Powder,,,deep-amchur-mango-powder,Uncategorized,,
Deep Amla,,,deep-amla,Uncategorized,,
Deep Anardana,,,deep-anardana,Uncategorized,,
Deep Arvi,,,deep-arvi,Uncategorized,,
Deep Babus Paneer Tikka,,,deep-babus-paneer-tikka,Uncategorized,,
Deep Baingan Bhartha,,,deep-baingan-bhartha,Uncategorized,,
Deep Bajri Flour,,,deep-bajri-flour,Uncategorized,,
Deep Basmati Rice 2 Lb,,,deep-basmati-rice-2-lb,Uncategorized,,
Deep Besan,,,deep-besan,Uncategorized,,
Deep Besan Flour,,,deep-besan-flour,Uncategorized,,
Deep Besan Ladoo 400 Gms,,,deep-besan-ladoo-400-gms,Uncategorized,,
Deep Bhakri Flour,,,deep-bhakri-flour,Uncategorized,,
Deep Bhatura,,,deep-bhatura,Uncategorized,,
Deep Bhel Mix,,,deep-bhel-mix,Uncategorized,,
Deep Bhindi Baby Okra,,,deep-bhindi-baby-okra,Uncategorized,,
Deep Bhindi Cut,,,deep-bhindi-cut,Uncategorized,,
Deep Boondi,,,deep-boondi,Uncategorized,,
Deep Brown Basmati Rice 2 Lb,,,deep-brown-basmati-rice-2-lb,Uncategorized,,
Deep Chai Puri 340 Gms,,,deep-chai-puri-340-gms,Uncategorized,,
Deep Chana Dal Samosa,,,deep-chana-dal-samosa,Uncategorized,,
Deep Chauri,,,deep-chauri,Uncategorized,,
Deep Chhole,,,deep-chhole,Uncategorized,,
Deep Chikoo Slices,,,deep-chikoo-slices,Uncategorized,,
Deep Cktail Samosa Chan Dal,,,deep-cktail-samosa-chan-dal,Uncategorized,,
Deep Coconut,,,deep-coconut,Uncategorized,,
Deep Coconut Chutney,,,deep-coconut-chutney,Uncategorized,,
Deep Coconut Water,,,deep-coconut-water,Uncategorized,,
Deep Coriander Chutney,,,deep-coriander-chutney,Uncategorized,,
Deep Coriander Seeds,,,deep-coriander-seeds,Uncategorized,,
Deep Cow Ghee,,,deep-cow-ghee,Uncategorized,,
Deep Cream Role Chocolate,,,deep-cream-role-chocolate,Uncategorized,,
Deep Crispy Fried Onion,,,deep-crispy-fried-onion,Uncategorized,,
Deep Cumin Seeds,డీప్ జీరా బీజాలు,डीप जीरा बीज,"['cumin seeds', 'jeera']",Uncategorized,,
Deep Cumin Seeds 7oz,,,deep-cumin-seeds-7oz,Uncategorized,,
Deep Curry Powder Hot,డీప్ కరీ పావురు వేడి,डीप करी पाउडर गरम,"['curry powder', 'hot curry powder']",Uncategorized,,
Deep Daabeli,,,deep-daabeli,Uncategorized,,
Deep Dahi Vada,,,deep-dahi-vada,Uncategorized,,
Deep Dahi Whole Milk,,,deep-dahi-whole-milk,Uncategorized,,
Deep Dhokla Flour,,,deep-dhokla-flour,Uncategorized,,
Deep Dosa Mix,,,deep-dosa-mix,Uncategorized,,
Deep Drumsticks,డీప్ డ్రమ్‌స్టిక్స్,डीप ड्रमस्टिक्स,"['drumsticks', 'deep drumsticks']",Uncategorized,,
Deep Dum Aloo,,,deep-dum-aloo,Uncategorized,,
Deep Extra Long Grain Basmati Rice 2 Lb,,,deep-extra-long-grain-basmati-rice-2-lb,Uncategorized,,
